							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Кружка Эфиопия 1312-08078		шт	90.00	 	 	3.000	270.00
Мини бар двойной "Восточный цветок" (1022+44160) мб-2вц		шт	1'390.00	 	 	1.000	1'390.00
Мини бар двойной "Золотой серпантин" (1022+44160) мб-2зс		шт	1'440.00	 	 	1.000	1'440.00
Мини бар двойной "Кружево" (44188+1250) мб-2кр/1		шт	1'440.00	 	 	1.000	1'440.00
Н-р 3-х блюд в форме рыб "Осетр" 1/12 ся3		шт	340.00	 	 	1.000	340.00
Н-р чайный 5пр Серебристая роза под уп м456д		шт	295.00	 	 	2.000	590.00
Набор детский 3 пр, Морской мир с833/4мм		шт	250.00	 	 	1.000	250.00
Набор детский 3пр (200,175,360) "Бемби" 1/10 2с0520/2		шт	190.00	 	 	1.000	190.00
Набор детский 3пр (200,175,360) "Далматинцы" 1/10 2с0559/3		шт	160.00	 	 	2.000	320.00
Набор детский 3пр (200,175,360) "Лесовичок" 1/10 2с0524/1		шт	191.00	 	 	1.000	191.00
Набор детский 3пр /200,175,360/ Пчелы 2с0493/1		шт	190.00	 	 	2.000	380.00
Набор для специй "Голубые цветы" 259950		шт	150.00	 	 	1.000	150.00
Набор для специй 3пр., Цитрусы дфс00325-01900		шт	251.00	 	 	4.000	1'004.00
Набор из 3-х квадратных тарелок 3-х056		шт	430.00	 	 	1.000	430.00
Набор из 3-х круглых волнообразных салатников 1013-з124		шт	280.00	 	 	1.000	280.00
Набор из 7-ми квадратных тарелок Здоровье 7-х132		шт	740.00	 	 	1.000	740.00
Набор кружек 1/8 6050033		шт	640.00	 	 	1.000	640.00
Набор кухонных принадлежностей  "Голубые цветы" 259966		шт	170.00	 	 	1.000	170.00
Набор салатников 1/6 вб49013		шт	820.00	 	 	1.000	820.00
Набор Салатников 2пр с ложками квадрат 3223зп24		шт	150.00	 	 	1.000	150.00
Набор салатников 3шт Весенний букет с крышкой о816087		шт	410.00	 	 	1.000	410.00
Набор фужеров 2шт Свадьба кв8/1		шт	300.00	 	 	1.000	300.00
Набор чайный  4пр Орхидея в20986		шт	500.00	 	 	1.000	500.00
Набор чайный 12пр под. упаковка 6гб-1232		шт	850.00	 	 	1.000	850.00
Набор чайный 2 пр 250мл 1сгб-141		шт	220.00	 	 	1.000	220.00
Набор чайный 4 пр 250мл 2сгб-139		шт	320.00	 	 	1.000	320.00
Набор чайный 4пр В райском саду 270мл тонкий фарфор о802095		шт	480.00	 	 	1.000	480.00
Набор чайный 4пр Флоранж 270мл тонкий фарфор о802100		шт	360.00	 	 	1.000	360.00
Наборы кружек 1/8 вб40301		шт	520.00	 	 	4.000	2'080.00
Пиала 170 мл Колокольчики 1/20 2с0660/1		шт	40.00	 	 	16.000	640.00
Пиала 170см, белье 1/20 2с0659		шт	31.00	 	 	20.000	620.00
Салатник 240 белье 1/20 2с0049		шт	35.00	 	 	19.000	665.00
Салатник 240 см 1/20 2с0481		шт	41.00	 	 	20.000	820.00
Салатник 240мл "Бемби" 1/20 2с0114/3		шт	40.00	 	 	17.000	680.00
