							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Cетевой фильтр Эра SF 6гн 2м белый SF-6es-2m-W		шт	440.00	 	 	6.000	2'640.00
Cетевой фильтр Эра SF 6гн 4м белый 5016		шт	540.00	 	 	6.000	3'240.00
Domingo Плюш-Ап Салфетка микрофибра Универсал 35*35 (30)		шт	130.00	 	 	1.000	130.00
Domingo Плюш-Ап Салфетка микрофибра Универсал(30)		шт	130.00	 	 	1.000	130.00
Linia VEIRO Standart плюс 2 слоя 4шт/уп 960листов (12) 26205		упак	60.00	 	 	1.000	60.00
АБСОЛОН гранулы от крыс, мышей пакет 100г (50)		шт	20.00	 	 	30.000	600.00
АБСОЛОН зерно от крыс, мышей пакет 100г (50)		шт	15.00	 	 	9.000	135.00
Авт. выкл. EKF 1P 16A 4,5kA C BA47-63 (12/120) 18326		шт	54.00	 	 	1.000	54.00
Авт. выкл. EKF 1P 20A 4,5kA C BA47-63 (12/120) 18327		шт	54.00	 	 	2.000	108.00
Авт. выкл. EKF 1P 25A 4,5kA C BA47-63 (12/120) 18328		шт	54.00	 	 	2.000	108.00
Авт. выкл. EKF 1P 32A 4,5kA C BA47-63 (12/120) 18329		шт	54.00	 	 	4.000	216.00
Авт. выкл. EKF 2P 40A 4,5kA C BA47-63 (6/60) 18345		шт	115.00	 	 	1.000	115.00
Авт. выкл. TDM 2P 16A 4,5kA C BA47-29 (6/60) SQ0206-0093		шт	115.00	 	 	4.000	460.00
Авт. выкл. TDM 2P 20A 4,5kA C BA47-29 (6/60) SQ0206-0094		шт	120.00	 	 	4.000	480.00
Авт. выкл. TDM 2P 25A 4,5kA C BA47-29 (6/60) SQ0206-0095		шт	115.00	 	 	1.000	115.00
Авт. выкл. TDM 2P 32A 4,5kA C BA47-29 (6/60) SQ0206-0096		шт	115.00	 	 	4.000	460.00
Авт. выкл. TDM 2P 40A 4,5kA C BA47-29 (6/60) SQ0206-0097		шт	120.00	 	 	2.000	240.00
Авт. выкл. TDM 2P 50A 4,5kA C BA47-29 (6/60) SQ0206-0098		шт	150.00	 	 	4.000	600.00
Аккумулятор KОСМОС (R 3) - 900 mAh (NIMH) (24)		шт	72.00	 	 	4.000	288.00
Аккумулятор KОСМОС (R 6) - 1500 mAh (NIMH) (24)		шт	96.00	 	 	4.000	384.00
Аккумулятор Samsung (R 3) - 900 mAh Pleomax (2/20)		шт	88.00	 	 	4.000	352.00
АНТИЗАСОР Гель для удаления засора в трубах 1л (9) 20712		шт	180.00	 	 	4.000	720.00
АНТИЗАСОР Гранулированное средство для удаления засора в трубах 70гр (30) 20713		шт	30.00	 	 	4.000	120.00
АНТИПЯТИН Пятновыводитель OXI 300гр (28) 20716		шт	85.00	 	 	1.000	85.00
Батарейка Duracell 23 A (1*Bl) (MN21) (10/100)		шт	110.00	 	 	8.000	880.00
Батарейка Duracell 27 A (MN27)		шт	170.00	 	 	5.000	850.00
Батарейка Duracell LR 3 (4*Bl) Basic (40/120) 75062721		шт	35.00	 	 	1.000	35.00
Батарейка Duracell LR 3 (8*Bl) Basic (80)		шт	35.00	 	 	19.000	665.00
Батарейка Duracell LR 6 (4*Bl) Basic (80/240) 75062708		шт	35.00	 	 	27.000	945.00
Батарейка Duracell LR20 (2*Bl, D,1300) (20/60)		шт	126.00	 	 	10.000	1'260.00
Батарейка Eastpower 3R12 (4,5V) (12/96)		шт	36.00	 	 	12.000	432.00
Батарейка Energizer Classic LR 6 (6*Bl) (72) 635213		шт	30.00	 	 	4.000	120.00
Батарейка Energizer LR 3 (2*Bl) (24/1776) 629737		шт	32.00	 	 	9.000	288.00
Батарейка Energizer LR 3 (4*Bl) (48/3552) 0171		шт	30.00	 	 	1.000	30.00
Батарейка Energizer LR 6 (4*Bl) (96/3072) 0215		шт	30.00	 	 	1.000	30.00
Батарейка Energizer LR14 (2*Bl) (24)		шт	78.00	 	 	10.000	780.00
Батарейка Energizer LR20 (2*Bl) (24/552)		шт	100.00	 	 	10.000	1'000.00
Батарейка Kodak LR 3 (4*Bl) Max (40/200) *(3628)(2819) K3A-4		шт	20.00	 	 	7.000	140.00
Батарейка Kodak LR 6 (4*Bl) Max (4/80/400) *(4312)(2868) KAA-4		шт	20.00	 	 	21.000	420.00
Батарейка KОСМОС 6F22 б/б (1S) (10/100) 9403		шт	23.00	 	 	2.000	46.00
Батарейка KОСМОС CR 2025 (5*Bl)  (5/60/600) 9596		шт	12.00	 	 	1.000	12.00
Батарейка KОСМОС LR 3 (2*Bl) (24/144/288)		шт	16.00	 	 	1.000	16.00
Батарейка KОСМОС LR 3 (24*Box) (24/480) KOCLR3_24BOX		шт	12.00	 	 	20.000	240.00
Батарейка KОСМОС LR 6 (20*Box) (20/640) KOCLR620BOX		шт	12.00	 	 	39.000	468.00
Батарейка KОСМОС LR 6 (4*Bl) (48/480) 0130		шт	15.00	 	 	5.000	75.00
Батарейка KОСМОС R 3 б/б (2S) (60/600) 3433		шт	6.00	 	 	38.000	228.00
Батарейка KОСМОС R 6 б/б (4S) (60/600) 5396		шт	6.00	 	 	40.000	240.00
Батарейка KОСМОС R14 б/б (2S) (24/288) 1415		шт	18.00	 	 	24.000	432.00
Батарейка KОСМОС R20 б/б (2S) (24/288) 0419		шт	22.00	 	 	13.000	286.00
Батарейка Panasonic Alkaline Power LR 3 (4*Вl) Bronze(48/240) 9482		шт	20.00	 	 	1.000	20.00
Батарейка Panasonic Everyday LR 3 (4*Вl) (4/48/240) 3720		шт	30.00	 	 	5.000	150.00
Батарейка Panasonic Everyday LR 6 (4*Вl) (48/240) 12580		шт	30.00	 	 	6.000	180.00
Батарейка Panasonic Evolta LR 3 (3+1*Bl) (4/48/240) 7317		шт	45.00	 	 	9.000	405.00
Батарейка Panasonic Evolta LR 6 (3+1*Bl) (4/48/240) 12581		шт	45.00	 	 	11.000	495.00
Батарейка Panasonic Pro Power LR 3 (4*Bl) Gold (48/240) 19117		шт	38.00	 	 	10.000	380.00
Батарейка Panasonic Pro Power LR 6 (4*Вl) Gold (48/240) 11810		шт	38.00	 	 	12.000	456.00
Батарейка Panasonic R 6 б/б (4S) Purpose (4/60/600) 0202		шт	10.00	 	 	9.000	90.00
Батарейка Panasonic R14 б/б (2S) Purpose (2/24/480) 0257		шт	21.00	 	 	17.000	357.00
Батарейка Panasonic R20 б/б (2S) Purpose (24/288) 0278		шт	29.00	 	 	3.000	87.00
Батарейка Samsung 23 A 12V (5*Bl) Pleomax (5/125) 0060		шт	23.00	 	 	1.000	23.00
Батарейка Samsung 23 A 12V (5*Bl) Pleomax (5/125) 0060		шт	24.00	 	 	4.000	96.00
Батарейка Samsung 27 A (5*Bl) Pleomax 12V (5/125/1000) 3656		шт	25.00	 	 	3.000	75.00
Батарейка Samsung 6F22 б/б (1S) Pleomax (10/50/200)		шт	36.00	 	 	19.000	684.00
Батарейка Samsung LR 3 (2*Bl) Pleomax (20/100/400)		шт	18.00	 	 	5.000	90.00
Батарейка Samsung LR 3 (4*Bl) Pleomax (40/400) 0868		шт	17.00	 	 	4.000	68.00
Батарейка Samsung LR 6 (4*Bl) Pleomax (40/400) 3830		шт	17.00	 	 	5.000	85.00
Батарейка Samsung LR 6 (4*Bl) Pleomax (40/400) 3830		шт	20.00	 	 	24.000	480.00
Батарейка Samsung R 3 б/б (2/4S) Pleomax (48/960) 0051		шт	7.00	 	 	25.000	175.00
Батарейка Samsung R 6 б/б (4S) Pleomax (24/480) 0053		шт	7.00	 	 	11.000	77.00
Батарейка Samsung R14 б/б (2S) Pleomax (24/192)		шт	17.00	 	 	14.000	238.00
Батарейка Samsung R20 (2*Bl) Pleomax (20/80)		шт	29.00	 	 	16.000	464.00
Батарейка Sanyo 6F22 б/б (1S) (10/200)		шт	35.00	 	 	4.000	140.00
Батарейка Sanyo R 3 б/б (2S) (40/400/1600)		шт	9.00	 	 	12.000	108.00
Батарейка Sanyo R 6 б/б (4S) (24/576)		шт	8.00	 	 	15.000	120.00
Батарейка Sanyo R20 б/б (2S) (24/288)		шт	22.00	 	 	23.000	506.00
Батарейка Sony LR 3 (4*Bl) Blue Alkaline (4/80/240)		шт	18.00	 	 	3.000	54.00
Батарейка Sony LR 6 (4*Bl) Blue Alkaline (4/80/240)		шт	18.00	 	 	22.000	396.00
Батарейка Эра LR 3 (2*Bl) (60/480)		шт	16.00	 	 	12.000	192.00
Батарейка Эра LR 6 (2*Bl) (40/320)		шт	16.00	 	 	9.000	144.00
Батарейка Эра LR14 (2*Bl) (12/96)		шт	48.00	 	 	6.000	288.00
Батарейка Эра LR20 (2*Bl) (12/96)		шт	75.00	 	 	4.000	300.00
Беспроводной звонок Космос AG513С (150 м, 12 мелодий, помехоподавления, кнопка IP44, 12071		шт	390.00	 	 	1.000	390.00
Бокс 1-2 автомата GE (124*42*57мм, IP 30) (48) 14637		шт	20.00	 	 	2.000	40.00
Бокс EKF ЩРН-П-8 IP40 (30) 18668		шт	260.00	 	 	1.000	260.00
Брелок 027 (LED) кегля (24) 15858		шт	60.00	 	 	1.000	60.00
Брелок-лазер 117-3 (1LED+УФ) (24)		шт	57.00	 	 	5.000	285.00
Брелок-лазер 811 (LED) пистолет (12) 15872		шт	70.00	 	 	2.000	140.00
Брелок-лазер 907В (LED, ручка) пуля (24)		шт	65.00	 	 	5.000	325.00
Брелок-лазер К8 (1LED+лазер, 3*G3) (1000/1200)		шт	30.00	 	 	5.000	150.00
Вилка Makel белая с/з  угловая (50/500) 12687		шт	40.00	 	 	16.000	640.00
Вилка Универсал б/з белая 6А (50/500)		шт	23.00	 	 	11.000	253.00
Вилка универсальная плоская белая Витебск кембрик (20/300) 10302		шт	14.00	 	 	19.000	266.00
Выключатель EL-Bi NEO 1кл. белый (20/120) 513-000200-200		шт	45.00	 	 	7.000	315.00
