						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм, 180х1,6 мм 37014М		шт	65.00	3.000	195.00	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм, 230х1,8 мм 37019м		шт	90.00	1.000	90.00	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм, 230х2,0 мм 37020м		шт	95.00	10.000	950.00	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм,125х0,8мм/ 125х1,0 мм 37004м 37003М		шт	35.00	4.000	140.00	
Круг фетровый 150 мм с липучкой 39642		шт	300.00	2.000	600.00	
Круги полировочные , набор 3шт. 36920		шт	140.00	2.000	280.00	
Круги резиновые шлифовальные , набор 2шт. 36909		шт	75.00	1.000	75.00	
Круги с алмазным напылением 2шт и штифт диам.3мм,22мм 36930		шт	255.00	2.000	510.00	
Круги фетровые , набор 7шт. 36926		шт	95.00	2.000	190.00	
Круги шлифовальные (липучка), алюминий-оксидные, 150 мм (5 шт) Р 320 39810		упак	115.00	1.000	115.00	
Круги шлифовальные (липучка), алюминий-оксидные, 150 мм (5 шт) Р40/60/80/120/240 39802/39804/39806/39809/		упак	110.00	2.000	220.00	
Круги шлифовальные (липучка), алюминий-оксидные, 150 мм (5 шт) Р40/60/80/120/240 39802/39804/39806/39809/		упак	130.00	1.000	130.00	
Круги шлифовальные (липучка), алюминий-оксидные,125 мм, 5 шт.Р 40/ Р120 39652/39656/39669		упак	90.00	2.000	180.00	
Круги шлифовальные сплошные  (липучка), алюминий-оксидные, 125 мм (5 шт) Р100-240 39823М/39827М/39829М		шт	80.00	6.000	480.00	
Круги шлифовальные сплошные  (липучка), алюминий-оксидные, 125 мм (5 шт) Р100-240 39823М/39827М/39829М		шт	90.00	1.000	90.00	
Круги шлифовальные сплошные  (липучка), алюминий-оксидные, 150 мм (5 шт) Р40- 240 39802 - 39809		упак	35.00	1.000	35.00	
Крючок-вешалка 1-рожковый пластиковый белый 66840/41/42		шт	25.00	1.000	25.00	
Кусачки торцевые "Стайл", мягкие прорезиненные черно-желтые ручки, молибденовое покры 51835		шт	420.00	1.000	420.00	
Лезвия для ножа технического  9 мм (10 шт.) 10409		упак	30.00	1.000	30.00	
Лезвия для ножа технического 18 мм (10 шт.) 10418		упак	60.00	1.000	60.00	
Лезвия к ножам д/ковр.покр. Трапецивидное (уп10шт)  толщ.0,5мм (888)  3062005 10448		шт	45.00	3.000	135.00	
Лезвия к ножам д/ковр.покр. Трапецивидное (уп10шт)  толщ.0,5мм (888)  3062005 10448		шт	60.00	1.000	60.00	
